训练 8 篇 / 验证 2 篇

=== stateful　参数 637.8K ===
  ep27 train loss 0.6689 acc 0.0138 | val 头内Δacc +0.0114 **全局Δacc +0.0125** | alpha 0.9990
  ep28 train loss 0.6694 acc 0.0143 | val 头内Δacc +0.0123 **全局Δacc +0.0119** | alpha 0.9990
  ep29 train loss 0.6690 acc 0.0145 | val 头内Δacc +0.0125 **全局Δacc +0.0133** | alpha 0.9990
  ep30 train loss 0.6674 acc 0.0148 | val 头内Δacc +0.0126 **全局Δacc +0.0109** | alpha 0.9990
  ep31 train loss 0.6671 acc 0.0149 | val 头内Δacc +0.0130 **全局Δacc +0.0119** | alpha 0.9990
  ep32 train loss 0.6665 acc 0.0152 | val 头内Δacc +0.0131 **全局Δacc +0.0106** | alpha 0.9990
  ep33 train loss 0.6674 acc 0.0159 | val 头内Δacc +0.0138 **全局Δacc +0.0116** | alpha 0.9990
  ep34 train loss 0.6669 acc 0.0158 | val 头内Δacc +0.0136 **全局Δacc +0.0102** | alpha 0.9990
  ep35 train loss 0.6658 acc 0.0163 | val 头内Δacc +0.0136 **全局Δacc +0.0096** | alpha 0.9990
  ep36 train loss 0.6661 acc 0.0162 | val 头内Δacc +0.0142 **全局Δacc +0.0109** | alpha 0.9990
  ep37 train loss 0.6650 acc 0.0170 | val 头内Δacc +0.0146 **全局Δacc +0.0109** | alpha 0.9990
  ep38 train loss 0.6659 acc 0.0173 | val 头内Δacc +0.0153 **全局Δacc +0.0096** | alpha 0.9990
  ep39 train loss 0.6632 acc 0.0175 | val 头内Δacc +0.0148 **全局Δacc +0.0123** | alpha 0.9990

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  stateful    头内 +0.0151   全局 +0.0115
  memoryless  头内 +0.0280   全局 +0.0140
  shuffled    头内 +0.0148   全局 +0.0123

  stateful − shuffled = -0.0008
  >0 且稳定 ⇒ 历史改变了效用的**条件均值**：E[U|X,M] ≠ E[U|X]
  ≈0        ⇒ 只是学了个更好的普通 scorer，B 的核心命题不成立
  注：判据是条件均值改变，**不是** I(U;M|X)>0 —— 互信息为正也可能只体现在
      条件方差或更高阶矩上，此时平方风险毫无改善。此处曾把两者写成等价，是数学错误。
  又：单次训练不是一次测量（v1 的 +21.60 就是这么来的），至少 3 个种子看跨度。
==============================================================================
