训练 8 篇 / 验证 2 篇

=== stateful　参数 637.8K ===
  ep31 train loss 0.6791 acc 0.0030 | val 头内Δacc +0.0021 **全局Δacc -0.0008** | alpha 0.0548
  ep32 train loss 0.6766 acc 0.0031 | val 头内Δacc +0.0022 **全局Δacc -0.0008** | alpha 0.0550
  ep33 train loss 0.6796 acc 0.0032 | val 头内Δacc +0.0023 **全局Δacc -0.0011** | alpha 0.0551
  ep34 train loss 0.6780 acc 0.0034 | val 头内Δacc +0.0024 **全局Δacc -0.0014** | alpha 0.0553
  ep35 train loss 0.6785 acc 0.0033 | val 头内Δacc +0.0025 **全局Δacc -0.0017** | alpha 0.0554
  ep36 train loss 0.6783 acc 0.0034 | val 头内Δacc +0.0026 **全局Δacc -0.0014** | alpha 0.0556
  ep37 train loss 0.6791 acc 0.0037 | val 头内Δacc +0.0026 **全局Δacc -0.0014** | alpha 0.0557
  ep38 train loss 0.6778 acc 0.0037 | val 头内Δacc +0.0027 **全局Δacc -0.0014** | alpha 0.0559
  ep39 train loss 0.6780 acc 0.0037 | val 头内Δacc +0.0027 **全局Δacc -0.0014** | alpha 0.0560

=== shuffled　参数 637.8K ===
  ep0 train loss 0.6819 acc 0.0056 | val 头内Δacc +0.0058 **全局Δacc -0.0020** | alpha 0.0501
  ep1 train loss 0.6808 acc 0.0052 | val 头内Δacc +0.0054 **全局Δacc -0.0030** | alpha 0.0502
  ep2 train loss 0.6804 acc 0.0049 | val 头内Δacc +0.0048 **全局Δacc -0.0016** | alpha 0.0504
  ep3 train loss 0.6799 acc 0.0047 | val 头内Δacc +0.0047 **全局Δacc -0.0026** | alpha 0.0505
  ep4 train loss 0.6806 acc 0.0044 | val 头内Δacc +0.0046 **全局Δacc -0.0030** | alpha 0.0507
  ep5 train loss 0.6818 acc 0.0041 | val 头内Δacc +0.0046 **全局Δacc -0.0030** | alpha 0.0508
  ep6 train loss 0.6801 acc 0.0043 | val 头内Δacc +0.0047 **全局Δacc -0.0026** | alpha 0.0510
  ep7 train loss 0.6810 acc 0.0043 | val 头内Δacc +0.0047 **全局Δacc -0.0023** | alpha 0.0511
  ep8 train loss 0.6813 acc 0.0043 | val 头内Δacc +0.0047 **全局Δacc -0.0023** | alpha 0.0512
  ep9 train loss 0.6810 acc 0.0044 | val 头内Δacc +0.0047 **全局Δacc -0.0023** | alpha 0.0514
  ep10 train loss 0.6796 acc 0.0043 | val 头内Δacc +0.0046 **全局Δacc -0.0023** | alpha 0.0515
  ep11 train loss 0.6809 acc 0.0044 | val 头内Δacc +0.0049 **全局Δacc -0.0023** | alpha 0.0516
  ep12 train loss 0.6803 acc 0.0043 | val 头内Δacc +0.0043 **全局Δacc -0.0023** | alpha 0.0518
  ep13 train loss 0.6796 acc 0.0037 | val 头内Δacc +0.0041 **全局Δacc -0.0023** | alpha 0.0519
  ep14 train loss 0.6799 acc 0.0036 | val 头内Δacc +0.0042 **全局Δacc -0.0023** | alpha 0.0520
  ep15 train loss 0.6803 acc 0.0037 | val 头内Δacc +0.0045 **全局Δacc -0.0023** | alpha 0.0522
